master_metadata_track_name,master_metadata_album_album_name,spotify_track_uri,master_metadata_album_artist_name
Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,Shakira
ich mags,golden hour,spotify:track:5v41kP2xGYclmWX6bMhKzj,JEREMIAS
Doggy,Doggy,spotify:track:6pTd6XYMZjNRe9MjEVg9T9,Katja Krasavice
La Libertad,Mar De Colores,spotify:track:3DsLBZjoU5AYxZXsepHtsW,Alvaro Soler
CLOUD 7,CLOUD 7,spotify:track:7ksQkf6p0rF9CoDhxoePKn,Dardan
"Love, Peace & Happiness",5. DIMENSION,spotify:track:011Xn3Wqii67s4aaPgheiu,Marteria
Lipsticks & Heartbreaks,Lipsticks & Heartbreaks,spotify:track:5WX5hHwiJnFx9IIcCKxWWP,Kynda Gray
Don't Wait Up,Don't Wait Up,spotify:track:45PF1Y3RcW5MK0jxWvhc4D,Shakira
hdl,golden hour,spotify:track:0E3d9sHyPV6wACYP1U4UlF,JEREMIAS
HIGHWAY (feat. ELIF),EURE MAMI,spotify:track:6QVxJg8q95hEuPgNRb56jK,Katja Krasavice
La Vida Seguirá,Eterno Agosto,spotify:track:4j7P2S3Olv5D7YNB1dbGez,Alvaro Soler
Liebe zu dritt,Liebe zu dritt,spotify:track:1CeL9v59rZeFX63hYI4eAO,Provinz
OMG!,Zum Glück in die Zukunft II,spotify:track:6ngfhauAytTZsaQgZyJIeK,Marteria
Großstadtfieber (feat. DAZZIT),Deutscher Oktober,spotify:track:5cpplI5JHlvuGHUWoXHjSN,Disarstar
Blaulicht,Blaulicht,spotify:track:6kMO1GdiFlxinsZ472HbVo,ENNIO
Girl In A Big Shirt - From The Voice Of Germany,Girl In A Big Shirt,spotify:track:0f8JEH2dWA2bgKoWAkM87v,Katarina Mihaljević
Sex Tape,Sex Tape,spotify:track:1zOMSnF631rlPHlS4hH9rV,Katja Krasavice
Bye Bye,MTV Unplugged,spotify:track:6Sr3iRWoMsyqVfNDJJQmzk,CRO
Dazwischen sind wir Freunde,HERZ KRAFT WERKE,spotify:track:0NX880zpZdAIRYvdzr3jkq,Sarah Connor
Hotel Room Service,Pitbull Starring In Rebelution,spotify:track:6Rb0ptOEjBjPPQUlQtQGbL,Pitbull
Pon de Replay,Music Of The Sun,spotify:track:4TsmezEQVSZNNPv5RJ65Ov,Rihanna
The Way I Are,Shock Value,spotify:track:2bLqfJjuC5syrsgDsZfGmn,Timbaland
Gimme More,Blackout,spotify:track:6ic8OlLUNEATToEFU3xmaH,Britney Spears
Maneater,Loose,spotify:track:4wH4dJgrsxONID6KS2tDQM,Nelly Furtado
Pump It,Monkey Business,spotify:track:2ygMBIctKIAfbEBcT9065L,Black Eyed Peas
SexyBack (feat. Timbaland),FutureSex/LoveSounds,spotify:track:0O45fw2L5vsWpdsOdXwNAR,Justin Timberlake
Disturbia,Good Girl Gone Bad: Reloaded,spotify:track:2VOomzT6VavJOGBeySqaMc,Rihanna
When I Grow Up,Doll Domination,spotify:track:21pySLskKIKrhDziCX5ojQ,The Pussycat Dolls
I'm Gone,I'm Gone,spotify:track:0UsD5SCb1OPZQ6tXJxeFA3,Jo'zzy
help_urself,help_urself,spotify:track:1lethytswFEKkvfNIjdCC1,Ezekiel
Work,CDW,spotify:track:1knUACOt5yfNAYn7gnYQVt,Charlotte Day Wilson
Washing Machine Heart,Be the Cowboy,spotify:track:3jjsRKEsF42ccXf8kWR3nu,Mitski
STUPID (feat. Yung Baby Tate),"Hi, It's Me",spotify:track:6qNB2ChCVPepl5ZjVJJTUW,Ashnikko
Purple Lamborghini (with Rick Ross),Purple Lamborghini (with Rick Ross),spotify:track:6JyuJFedEvPmdWQW0PkbGJ,Skrillex
1,1,spotify:track:75KG0cyaHdizV6avmsqT0l,Yung Bambi
Perfect (Remix) (feat. Doja Cat & BIA),Perfect (Remix) (feat. Doja Cat & BIA),spotify:track:31tgCy8mn6sFuIiHSHfEhm,Cousin Stizz
I'm Legit,Pink Friday: Roman Reloaded The Re-Up,spotify:track:5VH29X65xVLfH2TwD9EcxO,Nicki Minaj
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),spotify:track:27NovPIUIRrOZoCHxABJwK,Lil Nas X
Plain Jane REMIX (feat. Nicki Minaj),Plain Jane REMIX (feat. Nicki Minaj),spotify:track:2YzmfPLqUx5CJOaw5ThsBV,A$AP Ferg
VIBEZ,KIRK,spotify:track:0fySG6A6qLE8IvDpayb5bM,DaBaby
Ric Flair Drip (with Metro Boomin),Without Warning,spotify:track:7sO5G9EABYOXQKNPNiE9NR,Offset
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",Happy New Year 2022,spotify:track:3uRUbppUFPsmrccRXSDAjE,Christina Aguilera
Had Some Drinks,Had Some Drinks,spotify:track:6gGBL1uMBcNUOzSYfKreID,Two Feet
I Feel Like I'm Drowning,A 20 Something Fuck,spotify:track:3aauaXWRgwCMoykMbI0Jq1,Two Feet
Go Fuck Yourself,First Steps,spotify:track:4NZrZgrRoR4GwR7flWOXRI,Two Feet
Candy,Amala (Deluxe Version),spotify:track:4de1X6v99U7tfOXrNUCTbi,Doja Cat
River,Church Of Scars,spotify:track:3mRLHiSHYtC8Hk7bzZdUs1,Bishop Briggs
Sex You,Sex You,spotify:track:4pJt6B16mFRkmHfXUYmmrK,Bando Jonez
SOS,A Girl Like Me,spotify:track:30cSNer6TV8x2utjULVeQ5,Rihanna
Motive X - Promiscuous Mix,Motive X,spotify:track:07qHWMgKWYulwPHsTU18ba,Khlaw
34+35,Positions,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande
Streets,Hot Pink,spotify:track:60ynsPSSKe6O3sfwRnIBRf,Doja Cat
Skin,Loud,spotify:track:1mjMXiWYKSJ5XmJCC0O9HJ,Rihanna
I See Red,I See Red,spotify:track:5MAK1nd8R6PWnle1Q1WJvh,Everybody Loves an Outlaw
Needed Me,ANTI,spotify:track:4pAl7FkDMNBsjykPXo91B3,Rihanna
Bust Your Windows,Fearless,spotify:track:56z2qI0gKcPthQF6l8AW3E,Jazmine Sullivan
Woman,Planet Her,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat
Dance for You,4,spotify:track:7FiZqVOb86htTOt2GwDlKC,Beyoncé
Wild Side (feat. Cardi B),Wild Side (feat. Cardi B),spotify:track:2vXgyN14LX2zl7JEASw242,Normani
Access Denied,Access Denied,spotify:track:2RtodA9O20qR1GcAqzhWLy,RAY BLK
I Put A Spell On You,Nostalgia,spotify:track:3sesq9P6ndjuqaq5om7sxT,Annie Lennox
Seesaw (feat. Saweetie),Seesaw,spotify:track:1rlASnWYQsgGz9g2YVCl6I,Kendra Jae
telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis
Pour It Up,Unapologetic,spotify:track:5r67bGhYXZNqk2m2Wupfmu,Rihanna
7 rings,"thank u, next",spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande
Play with Me,Play with Me,spotify:track:2bySWrm7uc1BewjJQrVHkq,Rendezvous At Two
King,The Bedroom Tour Playlist,spotify:track:6A6QDAk4bYCkFlIcs39BiJ,Niykee Heaton
Under The Influence,Indigo (Extended),spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown
Rules,Hot Pink,spotify:track:1TMWcbxL5YF8rKsFHv5hAP,Doja Cat
All I Need,All I Need,spotify:track:1bpdLkA2MDdMAx043uDIQM,Lloyd
Dangerous,Not 4 Sale,spotify:track:4NOZ35Dhucr6UlVyLOtktd,Kardinal Offishall
247,247,spotify:track:3ngf72nHIDWjsaagIVumuM,David Correy
God is a woman,Sweetener,spotify:track:5OCJzvD7sykQEKHH7qAC3C,Ariana Grande
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",Moulin Rouge,spotify:track:7GbqE3MlkKosIaCvf50JRK,Christina Aguilera
Loveeeeeee Song,Unapologetic,spotify:track:5Mk1tgVrSuoWWwPVFNS0jB,Rihanna
energy,energy,spotify:track:0Fd9LHU2Eu8RGaxchCQbaP,Tyla Jane
Confidently Lost,Confidently Lost,spotify:track:3cQmqM0awej9iAESjhKrI9,Sabrina Claudio
Chun-Li,Queen,spotify:track:1e4rwBPVI32vZtTJu7mJ4J,Nicki Minaj
Drip,Love Train 2,spotify:track:4up42ROK6W4M5UbF1W9Iu3,Asiahn
nasty,Positions,spotify:track:0sci7ppTZFm4mjcH3nu8yO,Ariana Grande
Sure Thing,All I Want Is You,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel
Let Me Love You,Dangerous Woman,spotify:track:59NC8SuXPiSaiYL69XQ4dt,Ariana Grande
Streets - Silhouette Remix,Streets,spotify:track:0Uru1UoJdHKf2lxssQT3kC,Doja Cat
Rocket,BEYONCÉ [Platinum Edition],spotify:track:0755vnFQZLSgHHWbR1qCjY,Beyoncé
Buttons,PCD,spotify:track:314QzMOrpNUqWBUozYshf6,The Pussycat Dolls
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),spotify:track:09gysnJpfQ3ublBmJDfcEC,Amaarae
Fallin',Songs In A Minor (Expanded Edition),spotify:track:3unsLiH5FXmaDWtT5Imolu,Alicia Keys
Ain't No Other Man,Back To Basics,spotify:track:7huo2wvrCgRucUsjdSDLQV,Christina Aguilera
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",Earned It (Fifty Shades Of Grey),spotify:track:2PIvq1pGrUjY007X5y1UpM,The Weeknd
Slow Down Baby,Back To Basics,spotify:track:2B7btV5rnXrdFADZ0NMd0C,Christina Aguilera
Mamma Knows Best,Who You Are,spotify:track:7yOpGDQNMPLnbWRKelIOru,Jessie J
Need to Know,Planet Her,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat
Skin,Loud,spotify:track:0a2JCinEvl21WeWLJBt7hM,Rihanna
love nwantiti (ah ah ah),CKay The First,spotify:track:2Xr1dTzJee307rmrkt8c0g,CKay
I AM WOMAN,I AM WOMAN,spotify:track:3nOz1U41SZZ0N3fuUWr9nb,Emmy Meli
Sexual Healing,Sexual Healing,spotify:track:1m4b7AuHSvJnpRz6FWYUvL,Azee
Hope You Do,Heartbreak on a Full Moon,spotify:track:07egAPsYgrxjkEnZxs1ePJ,Chris Brown
"Yeah, I Said It",ANTI,spotify:track:7eDYNlBwRMeFOZHOZ95dZ1,Rihanna
Hrs and Hrs,Public Displays Of Affection,spotify:track:3xRH6FPVtheDyNla3T1FE7,Muni Long
PILLOWTALK,Mind Of Mine (Deluxe Edition),spotify:track:0PDUDa38GO8lMxLCRc4lL1,ZAYN
Hot Girl,Tina Snow,spotify:track:2Xc9MR2NMc5IKPFKaEjt1k,Megan Thee Stallion
Wild Thoughts (feat. Rihanna & Bryson Tiller),Grateful,spotify:track:1OAh8uOEOvTDqkKFsKksCi,DJ Khaled
Movements (feat. Yung Fusion),Movements,spotify:track:1dmQjvGmo94DlWLuC617JT,Pham
Sexy Bitch (feat. Akon),One More Love,spotify:track:127uq83uGFapbddqiMUKky,David Guetta
I Like Him,Everything Sucks,spotify:track:68UU9oaQtMDnh6PRlW842H,Princess Nokia
White Tee (with NO1-NOAH),Life On Earth - EP,spotify:track:5m0eMnsWwzgGsUxe1mhFYR,Summer Walker
Rules,Rules,spotify:track:0S56ARhyAIZ5OzFX54H2pH,Doja Cat
Dangerous Woman,Dangerous Woman,spotify:track:3nef5W8jTkXrOKgCu4kmq7,Ariana Grande
"I Put A Spell On You (Fifty Shades of Grey) - From ""Fifty Shades Of Grey"" Soundtrack",Fifty Shades Of Grey,spotify:track:32YHCNItnCdiYaPbw0uTo8,Annie Lennox
I Don't Need A Man,PCD,spotify:track:21avvmlLWna5CQMxSNDLL8,The Pussycat Dolls
Express - Burlesque Original Motion Picture Soundtrack,Burlesque Original Motion Picture Soundtrack,spotify:track:3e809RytbPZxM8BjbrjlqF,Christina Aguilera
High Heels.,Mad Love.,spotify:track:3CwY9duCa29ye9TDno8mXT,JoJo
Fighter,Stripped,spotify:track:7nXq1vaZiz7PdbfojpPjW5,Christina Aguilera
Show Me How You Burlesque - Original Motion Picture Soundtrack,Burlesque Original Motion Picture Soundtrack,spotify:track:6fq4QyaUskNqES6lJqgYjW,Christina Aguilera
The Devil You Know,The Devil You Know,spotify:track:5MEKqNAOlgt3sh5o0iq8EM,X Ambassadors
Sex With Me,ANTI,spotify:track:7BiELrM90hRxpozaIXbsLw,Rihanna
Feeling Myself,The Pinkprint,spotify:track:4vgTAdLit4VNnxZ7YK06NW,Nicki Minaj
Desperado,ANTI,spotify:track:4mCf3vQf7z0Yseo0RxAi3V,Rihanna
Don't Cha,PCD,spotify:track:0BxfFnk0YzONqvmrkO0QrB,The Pussycat Dolls
Let's Dance - 2018 Remaster,Let's Dance,spotify:track:3ix6K4wZY29bCujrSznwFZ,David Bowie
Wiggle It (feat. City Girls),Wiggle It (feat. City Girls),spotify:track:4vfsh1GHqHZtTlkusq9j5E,French Montana
My Type,ICY,spotify:track:5KBARWIxeMGkvUax9VtVC9,Saweetie
GOOBA,GOOBA,spotify:track:4NhDYoQTYCdWHTvlbGVgwo,6ix9ine
Eyes. Lips. Face. (e.l.f.),Eyes. Lips. Face. (e.l.f.),spotify:track:0UcTXmzMNrnS2rOLp94LlJ,iLL Wayno
Beez In The Trap,Pink Friday ... Roman Reloaded,spotify:track:4It00tEYLwpjQtAhqnjCPC,Nicki Minaj
You Don't Own Me (feat. G-Eazy),FMA,spotify:track:6KI1ZpZWYAJLvmVhCJz65G,SAYGRACE
successful,Sweetener,spotify:track:5YeHLHDdQ4nKHk81XFWhCU,Ariana Grande
MIA (feat. Drake),MIA (feat. Drake),spotify:track:116H0KvKr2Zl4RPuVBruDO,Bad Bunny
"Boom, Boom, Boom, Boom!!","Boom, Boom, Boom, Boom!!",spotify:track:2Ld2LehpgQNREMxl9LlIzm,Vengaboys
Whip It,Pink Friday ... Roman Reloaded,spotify:track:59DuHgV4Va0Drxx8FQg8Me,Nicki Minaj
Hung Up,Confessions on a Dance Floor,spotify:track:3850dYVgOFIXJh5U4BFEWH,Madonna
Focus,Focus,spotify:track:1cdzfFjEbUbgTm5nv3FgXR,Ariana Grande
Roar,PRISM,spotify:track:27tNWlhdAryQY04Gb2ZhUI,Katy Perry
All Mine,ye,spotify:track:3U21A07gAloCc4P7J8rxcn,Kanye West
That's Right (feat. Akon) - Explicit Album Version,Last 2 Walk,spotify:track:0cOSb7wzbpb9vjRkbYufWj,Three 6 Mafia
Come Get Her,SremmLife,spotify:track:1Ser4X0TKttOvo8bgdytTP,Rae Sremmurd
Recognize (feat. Drake),PARTYNEXTDOOR TWO,spotify:track:5wUUWVRvrciJqFitZF8R0P,PARTYNEXTDOOR
DISCO,Vanice,spotify:track:0l0cUbpegjqlU2faoY0xTw,Cookiee Kawaii
In My Room (feat. Ty Dolla $ign & Tyga),Blood For Mercy,spotify:track:4lqEFIB9YZl8BwR99L5H3b,Yellow Claw
Let Me Think About It,Singled Out,spotify:track:4LjfIjS8iweFCPdKxLnEoV,Ida Corr
Say Something - Zac Samuel Remix,Say Something,spotify:track:5QifrqmnjHzdOuBAheeeNU,Karen Harding
Disco Inferno,The Massacre,spotify:track:69bHJ9qs5FrUJbKP8xU8uZ,50 Cent
Go Girl,The Boatlift - Clean,spotify:track:6Ksb7nVVaNWKyuLzPfdyZD,Pitbull
Volar - Live From Spotify Berlin,Spotify Sessions,spotify:track:72MGshAJkQylwdAeltOs3n,Alvaro Soler
Magia,Magia,spotify:track:3KJ1QkwWObfuq54pgwTRyW,Alvaro Soler
El Mismo Sol,Eterno Agosto,spotify:track:4OKmYJF7Wk8uJxv68wFH0j,Alvaro Soler
Sofia,Eterno Agosto,spotify:track:5vj59ONIVbyhcrI8ZSwoRo,Alvaro Soler
Lo Mismo,Lo Mismo,spotify:track:2ZFG1xdBVSM4HmQQTBzWdm,GIMS
Bonita,Mar De Colores,spotify:track:181zMC9bXzuy1Zk2ht8rRY,Alvaro Soler
La Cintura - Acoustic Live Version,La Cintura,spotify:track:7LkGlX3dU4FEbCkjPs3JSG,Alvaro Soler
Lucía,Eterno Agosto,spotify:track:2vTsFPSUwgLwdRPj1rpDyK,Alvaro Soler
Arte - From “No Manches Frida 2” Soundtrack,Arte,spotify:track:6m4zkubgPFIn2GWAzUBKMX,Juanes
Que Pasa,Eterno Agosto,spotify:track:5sUnXcWyK2TEtP8TkXIy0V,Alvaro Soler
Cuando Volveras,Eterno Agosto,spotify:track:5GPPI7M9fa9gj9iw39pKa4,Alvaro Soler
Mañana,Mañana,spotify:track:3mF2Nfo8RllKxqhUWzBT5P,Alvaro Soler
Loca,Mar De Colores,spotify:track:6hkr3LNGKUn1492Cr6YSAi,Alvaro Soler
Sowieso - Radio Version,Sowieso,spotify:track:07TAUihsoCBnLWWXuZYUyw,Mark Forster
Einmal,LIEBE,spotify:track:4MshU1BZjRZjXtoSpaOJlL,Mark Forster
Schüttel deinen Speck,Stadtaffe,spotify:track:4zAV2pS81cE30xhBHwG9Pf,Peter Fox
I sing a Liad für di,Herzwerk,spotify:track:5ehvqNsyDicTBTUTMSB2Ic,Andreas Gabalier
Amoi seg' ma uns wieder - Radio Version,Amoi seg' ma uns wieder,spotify:track:0iAtLvGKbC4Z7LE2h7duLc,Andreas Gabalier
Hulapalu,Mountain Man,spotify:track:627QU4vNG3alCWCK1FMeLK,Andreas Gabalier
Hoch,FILTER,spotify:track:7gqefhSJfWyN1qQ2huvEze,Tim Bendzko
Auf uns,Hey,spotify:track:6dXt4t5jgySnVTeTpT4C0l,Andreas Bourani
The One,Hy Brasil,spotify:track:6j0l7Hjt6qeDCQnYBZuJXY,Rea Garvey
Love Makes You Shine,Love Makes You Shine,spotify:track:4EzOwxQW51kNkooXa0Ehh1,Rea Garvey
Oh My Love,Pride,spotify:track:6mgv7r4zAVOhUG0qIxJRRl,Rea Garvey
OK,Uncovered,spotify:track:32y9LSjv2Q49T3NnkETXCm,Robin Schulz
Shining Star,That's The Way Of The World,spotify:track:0RgcOUQg4qYAEt9RIdf3oB,"Earth, Wind & Fire"
Old Town Road - Remix,7 EP,spotify:track:2YpeDb67231RjR0MgVLzsG,Lil Nas X
Fireball (feat. John Ryan),Fireball (feat. John Ryan),spotify:track:49eplIHvgCLY8HAgcaWrUb,Pitbull
1-800-273-8255,Everybody,spotify:track:5tz69p7tJuGPeMGwNTxYuV,Logic
Pursuit Of Happiness (Nightmare),Man On The Moon: The End Of Day,spotify:track:4kTLpAbhuEGHAAdDjOIWaa,Kid Cudi
Walking On A Dream,Walking On A Dream,spotify:track:5r5cp9IpziiIsR6b93vcnQ,Empire Of The Sun
Touch It,The Big Bang,spotify:track:3HVJbdz0V402U5YggQK4Ao,Busta Rhymes
What U Gon' Do,Crunk Juice,spotify:track:1bTphHXspys3RvvRxfzzIc,Lil Jon & The East Side Boyz
D.I.S.C.O. - Single Version,D.I.S.C.O.,spotify:track:7KkdYJqxvq4ZFq9gvFy06v,Ottawan
House of the Rising Sun,The Singles Plus,spotify:track:4mn2kNTqiGLwaUR8JdhJ1l,The Animals
I Love Rock 'n' Roll,"ReCovered Hits, Vol. 2",spotify:track:06qEGQMavekDfu9fVsFAMz,The Black Jets
Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),spotify:track:5l0nX3AhmmF717aKSs8qSH,Miley Cyrus
Alarm,Speak Your Mind,spotify:track:572xshmOviSGH70oPYMCZV,Anne-Marie
Mr. Blue Sky,Out of the Blue,spotify:track:2RlgNHKcydI9sayD2Df2xp,Electric Light Orchestra
Englishman In New York,...Nothing Like The Sun,spotify:track:4KFM3A5QF2IMcc6nHsu3Wp,Sting
A Kind Of Magic - Remastered 2011,A Kind Of Magic,spotify:track:5RYLa5P4qweEAKq5U1gdcK,Queen
Subwoofer,Subwoofer,spotify:track:6zvjJxwWTuDnwbTmRziJI7,SHINSKY x DIMA
MONTERO (Call Me By Your Name),MONTERO,spotify:track:1SC5rEoYDGUK4NfG82494W,Lil Nas X
OTW,OTW,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,Khalid
3 Nights,"Don't Forget About Me, Demos",spotify:track:1tNJrcVe6gwLEiZCtprs1u,Dominic Fike
Electric Love,Dopamine,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,BØRNS
Mayonesa,Cumbia Tropical,spotify:track:4w6bADSiZknuUHYCdhrk9q,Cumbia Latin Band
Leave The Door Open,Leave The Door Open,spotify:track:7MAibcTli4IisCtbHKrGMh,Bruno Mars
Fitzpleasure,An Awesome Wave,spotify:track:09BGE23vqmtylTUBEhzu2H,alt-J
Rasputin,Nightflight to Venus,spotify:track:5jkFvD4UJrmdoezzT1FRoP,Boney M.
My Songs Know What You Did In The Dark (Light Em Up),Save Rock And Roll,spotify:track:2E43WFS4rRc09za2r2GmZl,Fall Out Boy
Jerk It Out,Jerk It Out,spotify:track:1bx7OUl2UmAnA5oZkm9If7,Caesars
Butterfly,The Gift Of Game,spotify:track:6GQ3WTaNHMFlVmN4burGat,Crazy Town
Just Dance,The Fame,spotify:track:1dzQoRqT5ucxXVaAhTcT0J,Lady Gaga
